source_file,party_name,order_no,order_date,item,type,size,quantity,notes
sample 4.jpeg,MAHARAJA RM,,01/04/2026,B.3825 SHORT SET,RNBS,45,1,"Lorry: AKR; Booking Station: ATTUR; Courier: SHABNAM AGENCIES, ERODE (K.N. ABUL KALAM 9443083040) -- printed/handwritten header fields not covered by main schema.; Quantities are transcribed as best interpretation of handwritten tally marks (mostly single strokes read as '1'); some digits may be misread due to handwriting quality; dashes/blank cells after the last filled size column were omitted as unreadable/blank.; Circled numbers in the 'Total Dozen' column (e.g. 8, 3, 7) were not included as size quantities since 'Total Dozen' is a summary column, not a size header."
sample 4.jpeg,MAHARAJA RM,,01/04/2026,B.3825 SHORT SET,RNBS,50,1,"Lorry: AKR; Booking Station: ATTUR; Courier: SHABNAM AGENCIES, ERODE (K.N. ABUL KALAM 9443083040) -- printed/handwritten header fields not covered by main schema.; Quantities are transcribed as best interpretation of handwritten tally marks (mostly single strokes read as '1'); some digits may be misread due to handwriting quality; dashes/blank cells after the last filled size column were omitted as unreadable/blank.; Circled numbers in the 'Total Dozen' column (e.g. 8, 3, 7) were not included as size quantities since 'Total Dozen' is a summary column, not a size header."
sample 4.jpeg,MAHARAJA RM,,01/04/2026,B.3825 SHORT SET,RNBS,55,1,"Lorry: AKR; Booking Station: ATTUR; Courier: SHABNAM AGENCIES, ERODE (K.N. ABUL KALAM 9443083040) -- printed/handwritten header fields not covered by main schema.; Quantities are transcribed as best interpretation of handwritten tally marks (mostly single strokes read as '1'); some digits may be misread due to handwriting quality; dashes/blank cells after the last filled size column were omitted as unreadable/blank.; Circled numbers in the 'Total Dozen' column (e.g. 8, 3, 7) were not included as size quantities since 'Total Dozen' is a summary column, not a size header."
sample 4.jpeg,MAHARAJA RM,,01/04/2026,B.3825 SHORT SET,RNBS,60,1,"Lorry: AKR; Booking Station: ATTUR; Courier: SHABNAM AGENCIES, ERODE (K.N. ABUL KALAM 9443083040) -- printed/handwritten header fields not covered by main schema.; Quantities are transcribed as best interpretation of handwritten tally marks (mostly single strokes read as '1'); some digits may be misread due to handwriting quality; dashes/blank cells after the last filled size column were omitted as unreadable/blank.; Circled numbers in the 'Total Dozen' column (e.g. 8, 3, 7) were not included as size quantities since 'Total Dozen' is a summary column, not a size header."
sample 4.jpeg,MAHARAJA RM,,01/04/2026,B.3825 SHORT SET,RNBS,65,1,"Lorry: AKR; Booking Station: ATTUR; Courier: SHABNAM AGENCIES, ERODE (K.N. ABUL KALAM 9443083040) -- printed/handwritten header fields not covered by main schema.; Quantities are transcribed as best interpretation of handwritten tally marks (mostly single strokes read as '1'); some digits may be misread due to handwriting quality; dashes/blank cells after the last filled size column were omitted as unreadable/blank.; Circled numbers in the 'Total Dozen' column (e.g. 8, 3, 7) were not included as size quantities since 'Total Dozen' is a summary column, not a size header."
sample 4.jpeg,MAHARAJA RM,,01/04/2026,B.3825 SHORT SET,RNBS,70,1,"Lorry: AKR; Booking Station: ATTUR; Courier: SHABNAM AGENCIES, ERODE (K.N. ABUL KALAM 9443083040) -- printed/handwritten header fields not covered by main schema.; Quantities are transcribed as best interpretation of handwritten tally marks (mostly single strokes read as '1'); some digits may be misread due to handwriting quality; dashes/blank cells after the last filled size column were omitted as unreadable/blank.; Circled numbers in the 'Total Dozen' column (e.g. 8, 3, 7) were not included as size quantities since 'Total Dozen' is a summary column, not a size header."
sample 4.jpeg,MAHARAJA RM,,01/04/2026,B.3825 SHORT SET,RNBS,75,1,"Lorry: AKR; Booking Station: ATTUR; Courier: SHABNAM AGENCIES, ERODE (K.N. ABUL KALAM 9443083040) -- printed/handwritten header fields not covered by main schema.; Quantities are transcribed as best interpretation of handwritten tally marks (mostly single strokes read as '1'); some digits may be misread due to handwriting quality; dashes/blank cells after the last filled size column were omitted as unreadable/blank.; Circled numbers in the 'Total Dozen' column (e.g. 8, 3, 7) were not included as size quantities since 'Total Dozen' is a summary column, not a size header."
sample 4.jpeg,MAHARAJA RM,,01/04/2026,B.3825 SHORT SET,RNBS,80,1,"Lorry: AKR; Booking Station: ATTUR; Courier: SHABNAM AGENCIES, ERODE (K.N. ABUL KALAM 9443083040) -- printed/handwritten header fields not covered by main schema.; Quantities are transcribed as best interpretation of handwritten tally marks (mostly single strokes read as '1'); some digits may be misread due to handwriting quality; dashes/blank cells after the last filled size column were omitted as unreadable/blank.; Circled numbers in the 'Total Dozen' column (e.g. 8, 3, 7) were not included as size quantities since 'Total Dozen' is a summary column, not a size header."
sample 4.jpeg,MAHARAJA RM,,01/04/2026,B.3824 SHORT SET,RNBS,45,1,"Lorry: AKR; Booking Station: ATTUR; Courier: SHABNAM AGENCIES, ERODE (K.N. ABUL KALAM 9443083040) -- printed/handwritten header fields not covered by main schema.; Quantities are transcribed as best interpretation of handwritten tally marks (mostly single strokes read as '1'); some digits may be misread due to handwriting quality; dashes/blank cells after the last filled size column were omitted as unreadable/blank.; Circled numbers in the 'Total Dozen' column (e.g. 8, 3, 7) were not included as size quantities since 'Total Dozen' is a summary column, not a size header."
sample 4.jpeg,MAHARAJA RM,,01/04/2026,B.3824 SHORT SET,RNBS,50,1,"Lorry: AKR; Booking Station: ATTUR; Courier: SHABNAM AGENCIES, ERODE (K.N. ABUL KALAM 9443083040) -- printed/handwritten header fields not covered by main schema.; Quantities are transcribed as best interpretation of handwritten tally marks (mostly single strokes read as '1'); some digits may be misread due to handwriting quality; dashes/blank cells after the last filled size column were omitted as unreadable/blank.; Circled numbers in the 'Total Dozen' column (e.g. 8, 3, 7) were not included as size quantities since 'Total Dozen' is a summary column, not a size header."
